Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Automatic,Hybrid,Karachi,115000,"
ToyotaSienta2015GforSale
",0,1500,6
Automatic,Hybrid,Karachi,52000,"
ToyotaPrius2017PHV(PlugInHybrid)forSale
",0,1800,4
Automatic,Petrol,Karachi,160000,"
ToyotaHiace2014GLforSale
",3800000.0,2700,7
Automatic,Hybrid,Karachi,101200,"
ToyotaPrius2016SforSale
",3950000.0,1800,5
Automatic,Hybrid,Karachi,60000,"
ToyotaCorollaAxio2017forSale
",0,1500,4
Automatic,Petrol,Karachi,9000,"
ToyotaPrado2018TX2.7forSale
",21000000.0,2700,3
Automatic,Petrol,Karachi,40100,"
ToyotaPrado2016TX2.7forSale
",17300000.0,2700,5
Automatic,Petrol,Karachi,119000,"
ToyotaPrius2007GTouringSelection1.5for...
",1860000.0000000002,1500,14
Automatic,Petrol,Karachi,77000,"
ToyotaFortuner20162.7VVTiforSale
",6500000.0,2700,5
Automatic,Petrol,Karachi,21000,"
SuzukiAlto2019VXLforSale
",1515000.0,660,2
Automatic,Petrol,Karachi,48000,"
ToyotaCorolla2018AltisAutomatic1.6forSale
",3250000.0,1600,3
Automatic,Hybrid,Karachi,108000,"
HondaGraceHybrid2015DXforSale
",3000000.0,1500,6
Automatic,Petrol,Karachi,99000,"
NissanMarch2001BoleroforSale
",730000.0,1000,20
Manual,Petrol,Karachi,90000,"
SuzukiCultus2007VXR(CNG)forSale
",600000.0,1000,14
Automatic,Petrol,Karachi,62000,"
ToyotaVitz2018F1.0forSale
",2530000.0,1000,3
Automatic,Petrol,Karachi,100000,"
DaihatsuHijet2013CruiseforSale
",1250000.0,660,8
Manual,Petrol,Karachi,263000,"
HondaCivicEG1995EXforSale
",840000.0,1500,26
Automatic,Petrol,Karachi,166000,"
DaihatsuHijet2016forSale
",1560000.0,660,5
Automatic,Petrol,Karachi,4000,"
RangeRoverAutobiography2019forSale
",0,2000,2
Automatic,Petrol,Karachi,25000,"
AudiA620181.8TFSIBusinessClassEdition...
",0,1800,3
Manual,Petrol,Karachi,10000,"
SuzukiCultus2008VXRiforSale
",665000.0,1000,13
Automatic,Petrol,Karachi,71000,"
ToyotaPixisEpoch2018XforSale
",2100000.0,660,3
Automatic,Petrol,Karachi,198000,"
HondaCivic2004EXiProsmatecforSale
",1150000.0,1500,17
Manual,Petrol,Karachi,65000,"
SuzukiBolan2017CargoVanEurollforSale
",720000.0,800,4
Automatic,Hybrid,Karachi,77000,"
ToyotaAqua2012SforSale
",2175000.0,1500,9
Automatic,Petrol,Karachi,1,"
ChanganAlsvin20211.5LDCTLumiereforSale
",2750000.0,1500,0
Automatic,Petrol,Karachi,46000,"
LexusLXSeries2016LX570forSale
",0,5663,5
Automatic,Petrol,Karachi,40500,"
ToyotaPrado2017TXLPackage2.7forSale
",0,2700,4
Automatic,Petrol,Karachi,61000,"
FordF150Shelby2017SuperchargedforSale
",0,6200,4
Automatic,Petrol,Karachi,4700,"
MercedesBenzCClass2019C180AMGforSale
",0,1600,2
Automatic,Petrol,Karachi,16000,"
AudiA620161.8TFSIforSale
",0,1800,5
Automatic,Hybrid,Karachi,32000,"
ToyotaAqua2021forSale
",3400000.0,1500,0
Automatic,Petrol,Karachi,41055,"
AudiA620161.8TFSIforSale
",11500000.0,1800,5
